Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Kevin Behrens,GER,FW,Union Berlin,Bundesliga,31,1991,33,17,1535.0,17.1,8,1,9,8,0,0,6,0,4.8,4.8,1.3,6.1,11.0,71.0,92.0,0.47,0.06,0.53,0.47,0.53,0.28,0.07,0.35,0.28,0.35,3995,207758,0
Alexis Beka Beka,FRA,MF,Nice,Ligue 1,21,2001,14,7,545.0,6.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.5,13.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,7570,393646,1
Jérémie Bela,ANG,DF,Clermont Foot,Ligue 1,29,1993,19,7,743.0,8.3,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,22.0,24.0,54.0,0.12,0.12,0.24,0.12,0.24,0.07,0.03,0.1,0.07,0.1,13879,721684,1
Youcef Belaïli,ALG,MF,Ajaccio,Ligue 1,30,1992,17,15,1150.0,12.8,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32.0,55.0,68.0,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,0.14,0.42,11355,590469,0
Haris Belkebla,ALG,MF,Brest,Ligue 1,28,1994,38,30,2656.0,29.5,2,0,2,1,1,1,3,0,1.3,0.5,0.6,1.1,19.0,129.0,37.0,0.07,0.0,0.07,0.03,0.03,0.04,0.02,0.06,0.02,0.04,11355,590469,2
Stefan Bell,GER,DF,Mainz 05,Bundesliga,30,1991,30,26,2395.0,26.6,0,1,1,0,0,0,9,0,0.7,0.7,0.6,1.2,9.0,92.0,10.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.05,0.02,0.05,37851,1968229,2
Armel Bella Kotchap,GER,DF,Southampton, Premier League,20,2001,24,24,1879.0,20.9,0,2,2,0,0,0,4,0,1.0,1.0,1.0,2.1,9.0,39.0,2.0,0.0,0.1,0.1,0.0,0.1,0.05,0.05,0.1,0.05,0.1,19065,991386,0
Raoul Bellanova,ITA,DF,Inter,Serie A,22,2000,18,3,496.0,5.5,0,0,0,0,0,0,0,0,0.6,0.6,0.4,1.0,25.0,12.0,37.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.19,0.12,0.19,35117,1826079,1
Karim Bellarabi,GER,FW,Leverkusen,Bundesliga,32,1990,8,1,85.0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103038,5357957,1
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,Ligue 1,24,1998,30,29,2419.0,26.9,2,6,8,2,0,0,5,0,2.6,2.6,5.2,7.8,104.0,153.0,110.0,0.07,0.22,0.3,0.07,0.3,0.1,0.19,0.29,0.1,0.29,7150,371777,2
Héctor Bellerín,ESP,DF,Barcelona,La Liga,27,1995,3,1,143.0,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,52570,2733652,1
Jude Bellingham, ENG,MF,Dortmund,Bundesliga,19,2003,31,30,2691.0,29.9,8,4,12,7,1,1,8,0,8.2,7.4,4.0,11.4,97.0,252.0,139.0,0.27,0.13,0.4,0.23,0.37,0.27,0.14,0.41,0.25,0.38,33645,1749537,2
Andrea Belotti,ITA,FW,Roma,Serie A,28,1993,31,11,1146.0,12.7,0,2,2,0,0,1,0,0,3.5,2.7,1.6,4.3,21.0,13.0,94.0,0.0,0.16,0.16,0.0,0.16,0.27,0.13,0.4,0.21,0.34,93365,4854965,0
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,23,1999,36,33,2855.0,31.7,0,2,2,0,0,0,4,0,0.9,0.9,1.7,2.6,27.0,138.0,33.0,0.0,0.06,0.06,0.0,0.06,0.03,0.05,0.08,0.03,0.08,18925,984115,2
Salim Ben Seghir,FRA,MF,Marseille,Ligue 1,19,2003,1,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,21869,1
Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,31,1990,32,28,2114.0,23.5,19,6,25,14,5,6,4,0,17.4,12.7,3.8,16.5,48.0,75.0,198.0,0.81,0.26,1.06,0.6,0.85,0.74,0.16,0.9,0.54,0.7,164019,8528993,2
Marco Benassi,ITA,DF,Fiorentina,Serie A,27,1994,2,1,93.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,50678,2635240,1
Ismaël Bennacer,ALG,MF,Milan,Serie A,24,1997,28,24,2007.0,22.3,2,2,4,2,0,0,5,0,1.0,1.0,3.3,4.3,30.0,132.0,52.0,0.09,0.09,0.18,0.09,0.18,0.04,0.15,0.19,0.04,0.19,58458,3039820,0
