Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,Weekly Wages,Annual Wages,Cluster
Emmanuel Dennis,NGA,FW,Nott'ham Forest, Premier League,24,1997,19,6,720.0,8.0,2,2,4,2,0,0,3,0,1.9,1.9,0.6,2.4,24.0,17.0,63.0,0.25,0.25,0.5,0.25,0.5,0.23,0.07,0.3,0.23,0.3,50840,2643695,1
Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25,1997,31,24,2173.0,24.1,2,2,4,2,0,0,7,0,1.7,1.7,1.2,2.9,28.0,66.0,76.0,0.08,0.08,0.17,0.08,0.17,0.07,0.05,0.12,0.07,0.12,13668,710749,2
Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,1,0,34.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11776,612338,1
Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1,1,90.0,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2523,131215,1
Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,27,26,2257.0,25.1,1,2,3,1,0,0,5,1,0.8,0.8,1.9,2.7,59.0,136.0,127.0,0.04,0.08,0.12,0.04,0.12,0.03,0.08,0.11,0.03,0.11,12617,656076,2
Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,26,19,1587.0,17.6,6,1,7,6,0,1,3,0,7.1,6.4,1.6,8.0,21.0,27.0,110.0,0.34,0.06,0.4,0.34,0.4,0.4,0.09,0.5,0.36,0.45,24182,1257480,0
Sergiño Dest,USA,DF,Milan,Serie A,21,2000,8,2,329.0,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,11.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,126169,6560764,1
Mattia Destro,ITA,FW,Empoli,Serie A,31,1991,17,6,572.0,6.4,1,0,1,1,0,0,3,0,1.4,1.4,0.4,1.8,4.0,4.0,20.0,0.16,0.0,0.16,0.16,0.16,0.22,0.06,0.28,0.22,0.28,58458,3039820,1
Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,16,15,1211.0,13.5,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72.0,82.0,118.0,0.15,0.45,0.59,0.15,0.59,0.38,0.33,0.7,0.38,0.7,26916,1399630,0
Kiernan Dewsbury-Hall, ENG,MF,Leicester City, Premier League,23,1998,31,28,2306.0,25.6,2,2,4,2,0,0,5,1,2.4,2.4,3.3,5.6,68.0,132.0,91.0,0.08,0.08,0.16,0.08,0.16,0.09,0.13,0.22,0.09,0.22,25420,1321847,2
Federico Di Francesco,ITA,FW,Lecce,Serie A,28,1994,36,23,2031.0,22.6,2,2,4,2,0,0,5,0,3.3,3.3,2.7,6.0,50.0,60.0,177.0,0.09,0.09,0.18,0.09,0.18,0.14,0.12,0.27,0.14,0.27,29229,1519910,0
Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37,37,3330.0,37.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,17453,907572,2
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,37,36,3257.0,36.2,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73.0,256.0,182.0,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.2,0.07,0.2,93365,4854965,2
Ángel Di María,ARG,FW,Juventus,Serie A,34,1988,26,15,1363.0,15.1,4,4,8,3,1,1,1,1,3.1,2.3,4.5,6.7,56.0,96.0,95.0,0.26,0.26,0.53,0.2,0.46,0.2,0.29,0.5,0.15,0.44,161706,8408712,0
Boulaye Dia,SEN,FW,Salernitana,Serie A,25,1996,33,27,2518.0,28.0,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48.0,50.0,140.0,0.57,0.21,0.79,0.54,0.75,0.31,0.11,0.43,0.29,0.4,37640,1957294,2
Moussa Diaby,FRA,FW,Leverkusen,Bundesliga,23,1999,33,33,2699.0,30.0,9,8,17,9,0,1,4,0,11.0,10.3,8.2,18.5,125.0,104.0,258.0,0.3,0.27,0.57,0.3,0.57,0.37,0.27,0.64,0.34,0.62,47523,2471221,2
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,29,28,2446.0,27.2,3,0,3,3,0,0,7,1,2.7,2.7,0.3,3.0,19.0,86.0,11.0,0.11,0.0,0.11,0.11,0.11,0.1,0.01,0.11,0.1,0.11,16822,874768,2
Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,33,29,2653.0,29.5,3,0,3,3,0,0,6,0,1.7,1.7,0.7,2.4,43.0,179.0,67.0,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08,7570,393646,2
Abdou Diallo,SEN,DF,RB Leipzig,Bundesliga,26,1996,8,5,478.0,5.3,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11.0,24.0,3.0,0.19,0.0,0.19,0.19,0.19,0.07,0.02,0.09,0.07,0.09,113552,5904687,1
Baila Diallo,FRA,DF,Clermont Foot,Ligue 1,21,2001,6,0,89.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2103,109346,1
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,37,32,2879.0,32.0,20,1,21,17,3,4,4,1,17.8,14.5,3.5,18.0,40.0,41.0,203.0,0.63,0.03,0.66,0.53,0.56,0.56,0.11,0.66,0.45,0.56,12827,667011,2
Ibrahima Diallo,FRA,MF,Southampton, Premier League,23,1999,18,11,819.0,9.1,0,0,0,0,0,0,4,0,0.2,0.2,0.1,0.3,9.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,69905,3635081,1
Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,25,1997,28,25,2176.0,24.2,0,0,0,0,0,0,9,1,0.3,0.3,0.6,0.8,36.0,70.0,36.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,1472,76542,2
Mouhamadou Diarra,SEN,MF,Strasbourg,Ligue 1,18,2004,29,18,1626.0,18.1,3,2,5,3,0,0,4,0,1.8,1.8,2.2,4.1,68.0,52.0,89.0,0.17,0.11,0.28,0.17,0.28,0.1,0.12,0.22,0.1,0.22,23972,1246545,0
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,21,2000,23,12,1225.0,13.6,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.9,21.0,50.0,43.0,0.0,0.07,0.07,0.0,0.07,0.01,0.05,0.06,0.01,0.06,1472,76542,0
Stéphane Diarra,FRA,FW,Lorient,Ligue 1,23,1998,28,14,1066.0,11.8,2,0,2,2,0,0,1,0,2.2,2.2,1.7,4.0,40.0,33.0,85.0,0.17,0.0,0.17,0.17,0.17,0.19,0.15,0.33,0.19,0.33,4626,240561,0
Rúben Dias,POR,DF,Manchester City, Premier League,25,1997,26,22,1998.0,22.2,0,0,0,0,0,0,3,0,1.3,1.3,0.6,1.9,14.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,228781,11896627,0
Krépin Diatta,SEN,MF,Monaco,Ligue 1,23,1999,31,22,2072.0,23.0,4,2,6,4,0,0,3,0,4.6,4.6,3.4,8.0,80.0,90.0,229.0,0.17,0.09,0.26,0.17,0.26,0.2,0.15,0.35,0.2,0.35,63084,3280382,0
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37,37,3330.0,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6939,360842,2
Brahim Díaz,ESP,MF,Milan,Serie A,22,1999,33,27,1925.0,21.4,6,7,13,6,0,0,3,0,6.0,6.0,5.6,11.5,80.0,121.0,116.0,0.28,0.33,0.61,0.28,0.61,0.28,0.26,0.54,0.28,0.54,40374,2099444,0
Luis Díaz,COL,FW,Liverpool, Premier League,25,1997,17,11,996.0,11.1,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4.0,39.0,49.0,116.0,0.36,0.18,0.54,0.36,0.54,0.22,0.14,0.36,0.22,0.36,69905,3635081,0
Bamba Dieng,SEN,FW,Marseille,Ligue 1,22,2000,10,1,194.0,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5.0,1.0,23.0,0.46,0.0,0.46,0.46,0.46,0.71,0.04,0.76,0.71,0.76,9463,492057,1
Eric Dier, ENG,DF,Tottenham, Premier League,28,1994,33,31,2818.0,31.3,2,1,3,2,0,0,3,0,1.6,1.6,1.2,2.8,9.0,87.0,14.0,0.06,0.03,0.1,0.06,0.1,0.05,0.04,0.09,0.05,0.09,108036,5617852,2
Florian Dietz,GER,FW,Köln,Bundesliga,23,1998,11,4,395.0,4.4,1,0,1,1,0,0,1,0,2.5,2.5,0.3,2.8,8.0,5.0,22.0,0.23,0.0,0.23,0.23,0.23,0.57,0.07,0.64,0.57,0.64,6308,328038,1
Lucas Digne,FRA,DF,Aston Villa, Premier League,29,1993,28,18,1502.0,16.7,1,0,1,1,0,0,5,0,0.4,0.4,1.9,2.3,29.0,57.0,89.0,0.06,0.0,0.06,0.06,0.06,0.02,0.11,0.14,0.02,0.14,203361,10574780,0
Federico Dimarco,ITA,DF,Inter,Serie A,24,1997,33,26,2069.0,23.0,4,3,7,4,0,0,0,0,3.1,3.1,6.9,9.9,45.0,88.0,189.0,0.17,0.13,0.3,0.17,0.3,0.13,0.3,0.43,0.13,0.43,62243,3236643,0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,37,37,3324.0,36.9,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13879,721684,2
Junior Dina Ebimbe,FRA,DF,Eint Frankfurt,Bundesliga,21,2000,19,10,1063.0,11.8,3,1,4,3,0,0,4,0,3.7,3.7,1.4,5.1,38.0,45.0,42.0,0.25,0.08,0.34,0.25,0.34,0.31,0.12,0.43,0.31,0.43,8832,459253,0
Tristan Dingomé,CMR,MF,Troyes,Ligue 1,31,1991,8,0,99.0,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23,0.39,0.16,0.39,13879,721684,1
Eren Dinkçi,GER,FW,Werder Bremen,Bundesliga,20,2001,17,0,231.0,2.6,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,5.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.17,0.24,0.41,0.17,0.41,4206,218692,1
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,24,22,1957.0,21.7,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,10.0,108.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,12827,667011,0
Lois Diony,FRA,FW,Angers,Ligue 1,29,1992,11,5,506.0,5.6,1,0,1,1,0,0,1,0,2.2,2.2,0.3,2.5,14.0,11.0,64.0,0.18,0.0,0.18,0.18,0.18,0.39,0.06,0.45,0.39,0.45,22710,1180937,1
Issa Diop,FRA,DF,Fulham, Premier League,25,1997,25,21,2012.0,22.4,1,0,1,1,0,0,2,0,0.3,0.3,0.4,0.7,13.0,70.0,4.0,0.04,0.0,0.04,0.04,0.04,0.01,0.02,0.03,0.01,0.03,88971,4626466,0
Sofiane Diop,FRA,MF,Nice,Ligue 1,22,2000,22,14,1228.0,13.6,1,4,5,1,0,0,1,0,2.6,2.6,1.9,4.4,55.0,72.0,91.0,0.07,0.29,0.37,0.07,0.37,0.19,0.14,0.33,0.19,0.33,21449,1115330,0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31,31,2790.0,31.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12617,656076,2
Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,38,37,3330.0,37.0,3,3,6,3,0,1,3,0,3.8,3.0,1.2,4.2,64.0,206.0,17.0,0.08,0.08,0.16,0.08,0.16,0.1,0.03,0.13,0.08,0.11,15140,787292,2
Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,25,24,2017.0,22.4,2,0,2,2,0,0,7,0,1.3,1.3,0.1,1.4,9.0,70.0,4.0,0.09,0.0,0.09,0.09,0.09,0.06,0.01,0.06,0.06,0.06,6939,360842,0
Djené,TOG,DF,Getafe,La Liga,30,1991,33,33,2840.0,31.6,0,1,1,0,0,0,10,1,0.6,0.6,0.7,1.2,11.0,77.0,20.0,0.0,0.03,0.03,0.0,0.03,0.02,0.02,0.04,0.02,0.04,46262,2405613,2
Moussa Djenepo,MLI,DF,Southampton, Premier League,24,1998,16,7,710.0,7.9,0,2,2,0,0,0,1,0,0.2,0.2,0.5,0.7,27.0,19.0,39.0,0.0,0.25,0.25,0.0,0.25,0.02,0.06,0.09,0.02,0.09,82615,4296004,1
Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,34,26,2424.0,26.9,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.1,11.0,83.0,13.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,9883,513926,2
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,31,31,2677.0,29.7,1,2,3,1,0,0,8,1,1.4,1.4,0.7,2.1,4.0,136.0,4.0,0.03,0.07,0.1,0.03,0.1,0.05,0.02,0.07,0.05,0.07,17664,918507,2
Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,24,20,1797.0,20.0,0,1,1,0,0,0,3,0,0.6,0.6,0.2,0.8,7.0,45.0,9.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04,31122,1618322,0
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,24,1998,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421,21869,1
Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,15,13,1269.0,14.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26495,1377760,0
Ritsu Doan,JPN,MF,Freiburg,Bundesliga,24,1998,33,30,2424.0,26.9,5,4,9,5,0,0,3,0,7.0,7.0,3.2,10.2,83.0,69.0,167.0,0.19,0.15,0.33,0.19,0.33,0.26,0.12,0.38,0.26,0.38,19766,1027853,2
Dodô,BRA,DF,Fiorentina,Serie A,23,1998,33,28,2331.0,25.9,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72.0,141.0,104.0,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11,40374,2099444,2
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,25,25,2216.0,24.6,5,1,6,5,0,0,0,0,1.9,1.9,0.4,2.3,15.0,73.0,21.0,0.2,0.04,0.24,0.2,0.24,0.08,0.02,0.09,0.08,0.09,12617,656076,2
Matt Doherty,IRL,DF,Tottenham, Premier League,30,1992,12,7,667.0,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16.0,20.0,57.0,0.13,0.0,0.13,0.13,0.13,0.1,0.04,0.14,0.1,0.14,82615,4296004,1
Josh Doig, SCO,DF,Hellas Verona,Serie A,20,2002,22,15,1354.0,15.0,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,41.0,27.0,61.0,0.13,0.2,0.33,0.13,0.33,0.12,0.08,0.2,0.12,0.2,13458,699815,0
Jeremy Doku,BEL,MF,Rennes,Ligue 1,20,2002,29,13,1291.0,14.3,6,2,8,6,0,0,0,0,2.7,2.7,4.9,7.5,101.0,71.0,156.0,0.42,0.14,0.56,0.42,0.56,0.19,0.34,0.53,0.19,0.53,32804,1705799,0
Kasper Dolberg,DEN,FW,Sevilla,La Liga,24,1997,4,2,197.0,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2.0,2.0,9.0,0.0,0.46,0.46,0.0,0.46,0.02,0.18,0.2,0.02,0.2,63084,3280382,1
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,3,1,108.0,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,6308,328038,1
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,31,26,2300.0,25.6,3,2,5,3,0,0,10,0,2.6,2.6,2.9,5.4,39.0,147.0,84.0,0.12,0.08,0.2,0.12,0.2,0.1,0.11,0.21,0.1,0.21,18925,984115,2
Giulio Donati,ITA,DF,Monza,Serie A,32,1990,8,4,422.0,4.7,1,0,1,1,0,0,4,2,0.4,0.4,0.1,0.5,4.0,21.0,8.0,0.21,0.0,0.21,0.21,0.21,0.08,0.02,0.11,0.08,0.11,7360,382711,1
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,38,38,3409.0,37.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267688,13919753,2
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,11,5,483.0,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,19977,1038788,1
Gabriel Dos Santos,BRA,DF,Arsenal, Premier League,24,1997,38,38,3409.0,37.9,3,0,3,3,0,0,5,0,5.1,5.1,0.3,5.3,18.0,153.0,16.0,0.08,0.0,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,63550,3304619,2
Jodel Dossou,BEN,MF,Clermont Foot,Ligue 1,30,1992,9,2,258.0,2.9,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,8.0,6.0,23.0,0.35,0.0,0.35,0.35,0.35,0.15,0.05,0.21,0.15,0.21,8411,437384,1
Lohann Doucet,FRA,MF,Nantes,Ligue 1,19,2002,9,0,91.0,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.05,0.2,1051,54673,1
Abdoulaye Doucouré,MLI,MF,Everton, Premier League,29,1993,25,17,1533.0,17.0,5,2,7,5,0,0,6,1,2.4,2.4,2.2,4.6,23.0,38.0,66.0,0.29,0.12,0.41,0.29,0.41,0.14,0.13,0.27,0.14,0.27,152521,7931085,0
Cheick Doucouré,MLI,MF,Crystal Palace, Premier League,22,2000,34,34,2769.0,30.8,0,3,3,0,0,0,10,1,1.4,1.4,1.9,3.4,18.0,140.0,17.0,0.0,0.1,0.1,0.0,0.1,0.05,0.06,0.11,0.05,0.11,76260,3965542,2
Ismaël Doukouré,FRA,DF,Strasbourg,Ligue 1,19,2003,28,25,2297.0,25.5,1,1,2,1,0,0,5,0,0.3,0.3,0.4,0.7,27.0,99.0,20.0,0.04,0.04,0.08,0.04,0.08,0.01,0.02,0.03,0.01,0.03,8411,437384,2
Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,26,13,1155.0,12.8,2,2,4,1,1,1,0,0,3.7,2.9,2.9,5.8,29.0,85.0,82.0,0.16,0.16,0.31,0.08,0.23,0.29,0.23,0.51,0.23,0.45,841,43738,0
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,25,1996,24,21,1790.0,19.9,0,0,0,0,0,0,2,1,1.0,1.0,1.6,2.6,52.0,58.0,95.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,14299,743553,0
Flynn Downes, ENG,MF,West Ham, Premier League,23,1999,21,7,762.0,8.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,3.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,31775,1652309,1
Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,34,34,2946.0,32.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,27337,1421499,2
Cody Drameh, ENG,DF,Leeds United, Premier League,20,2001,1,1,69.0,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3178,165231,1
Dominick Drexler,GER,MF,Schalke 04,Bundesliga,32,1990,27,16,1366.0,15.2,4,3,7,4,0,0,3,1,2.4,2.4,2.1,4.5,17.0,52.0,69.0,0.26,0.2,0.46,0.26,0.46,0.16,0.14,0.3,0.16,0.3,94837,4931507,0
Domingos Duarte,POR,DF,Getafe,La Liga,27,1995,31,30,2657.0,29.5,0,2,2,0,0,0,11,1,1.3,1.3,0.8,2.1,6.0,63.0,0.0,0.0,0.07,0.07,0.0,0.07,0.04,0.03,0.07,0.04,0.07,22710,1180937,2
Martin Dúbravka,SVK,GK,Newcastle Utd, Premier League,33,1989,2,1,157.0,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50840,2643695,1
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,28,1994,34,34,2852.0,31.7,12,6,18,12,0,1,4,0,11.3,10.5,5.5,16.0,31.0,58.0,215.0,0.38,0.19,0.57,0.38,0.57,0.36,0.17,0.53,0.33,0.5,51939,2700848,2
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,27,1994,15,11,1061.0,11.8,0,0,0,0,0,0,4,0,0.8,0.8,0.3,1.1,15.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,23131,1202807,0
Shane Duffy,IRL,DF,Fulham, Premier League,30,1992,5,0,20.0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.7,50840,2643695,1
Rémy Dugimont,FRA,FW,Auxerre,Ligue 1,36,1986,11,0,113.0,1.3,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,2.0,8.0,12.0,0.0,0.8,0.8,0.0,0.8,0.1,0.22,0.32,0.1,0.32,2523,131215,1
Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,34,25,2218.0,24.6,1,4,5,1,0,0,4,0,3.6,3.6,4.9,8.5,62.0,59.0,172.0,0.04,0.16,0.2,0.04,0.2,0.15,0.2,0.35,0.15,0.35,67500,3510009,2
Alfred Duncan,GHA,MF,Fiorentina,Serie A,29,1993,25,13,1103.0,12.3,1,0,1,1,0,0,3,0,0.5,0.5,0.6,1.1,18.0,70.0,30.0,0.08,0.0,0.08,0.08,0.08,0.04,0.05,0.09,0.04,0.09,50678,2635240,0
Lewis Dunk, ENG,DF,Brighton, Premier League,30,1991,36,36,3239.0,36.0,1,0,1,1,0,0,4,0,1.7,1.7,1.0,2.7,19.0,158.0,5.0,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.07,0.05,0.07,95326,4956928,2
Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38,38,3420.0,38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5467,284300,2
Hugo Duro,ESP,FW,Valencia,La Liga,22,1999,30,12,1385.0,15.4,1,1,2,1,0,1,5,0,4.4,3.6,1.1,4.7,9.0,19.0,67.0,0.06,0.06,0.13,0.06,0.13,0.29,0.07,0.36,0.23,0.31,60771,3160101,0
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,25,1997,34,27,2515.0,27.9,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,80.0,149.0,134.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,4626,240561,2
Paulo Dybala,ARG,MF,Roma,Serie A,28,1993,25,21,1739.0,19.3,12,6,18,7,5,5,5,0,9.3,5.3,6.9,12.2,56.0,75.0,109.0,0.62,0.31,0.93,0.36,0.67,0.48,0.36,0.83,0.28,0.63,148038,7697963,0
Edin Džeko,BIH,FW,Inter,Serie A,36,1986,33,18,1732.0,19.2,9,3,12,9,0,0,3,0,9.7,9.7,3.2,13.0,32.0,67.0,150.0,0.47,0.16,0.62,0.47,0.62,0.5,0.17,0.67,0.5,0.67,194720,10125445,0
Malcolm Ebiowei, ENG,MF,Crystal Palace, Premier League,18,2003,3,0,34.0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12710,660924,1
Festy Ebosele,IRL,DF,Udinese,Serie A,19,2002,17,4,411.0,4.6,0,1,1,0,0,0,4,0,0.2,0.2,0.9,1.1,27.0,17.0,22.0,0.0,0.22,0.22,0.0,0.22,0.04,0.19,0.24,0.04,0.24,4836,251496,1
Enzo Ebosse,CMR,DF,Udinese,Serie A,23,1999,20,9,930.0,10.3,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11.0,51.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,21659,1126264,1
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,26,1995,26,22,1923.0,21.4,2,4,6,2,0,0,0,0,3.1,3.1,1.9,5.0,31.0,41.0,42.0,0.09,0.19,0.28,0.09,0.28,0.14,0.09,0.23,0.14,0.23,13458,699815,0
Ederson,BRA,GK,Manchester City, Premier League,28,1993,35,35,3150.0,35.0,0,1,1,0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,127101,6609237,2
Éderson,BRA,MF,Atalanta,Serie A,23,1999,35,25,2215.0,24.6,1,1,2,1,0,0,4,0,2.0,2.0,2.3,4.2,37.0,93.0,62.0,0.04,0.04,0.08,0.04,0.08,0.08,0.09,0.17,0.08,0.17,53832,2799259,2
Odsonne Édouard,FRA,FW,Crystal Palace, Premier League,24,1998,35,20,1803.0,20.0,5,2,7,5,0,0,3,0,4.2,4.2,1.2,5.4,29.0,32.0,100.0,0.25,0.1,0.35,0.25,0.35,0.21,0.06,0.27,0.21,0.27,114391,5948314,0
